"","ANO_BO","month","day_of_week","Period2","case_count","y","year","mes","dia","predict"
"269",2017,"mai","sexta","day_pm",68,4.21950770517611,1,5,6,4.0661792988319
"270",2017,"mai","sexta","pre_night",45,3.80666248977032,1,5,6,3.4099927601939
"271",2017,"mai","sexta","night",49,3.89182029811063,1,5,6,3.94315479630842
"272",2017,"mai","sexta","night_pm",147,4.99043258677874,1,5,6,4.87917027764789
"273",2017,"mai","sábado","night_am",46,3.8286413964891,1,5,7,3.57422722795086
"274",2017,"mai","sábado","pre_morning",28,3.3322045101752,1,5,7,3.12104427502002
"275",2017,"mai","sábado","morning",37,3.61091791264422,1,5,7,3.31522913004195
"276",2017,"mai","sábado","day_am",45,3.80666248977032,1,5,7,3.99266441631992
"277",2017,"mai","sábado","day_pm",43,3.76120011569356,1,5,7,4.09363476931751
"278",2017,"mai","sábado","pre_night",36,3.58351893845611,1,5,7,3.43744823067951
"279",2017,"mai","sábado","night",48,3.87120101090789,1,5,7,3.97061026679403
"280",2017,"mai","sábado","night_pm",127,4.84418708645859,1,5,7,4.9066257481335
"281",2017,"jun","domingo","night_am",58,4.06044301054642,1,6,1,3.41458961353592
"282",2017,"jun","domingo","pre_morning",16,2.77258872223978,1,6,1,2.96140666060508
"283",2017,"jun","domingo","morning",36,3.58351893845611,1,6,1,3.15559151562701
"284",2017,"jun","domingo","day_am",10,2.30258509299405,1,6,1,3.83302680190498
"285",2017,"jun","domingo","day_pm",81,4.39444915467244,1,6,1,3.93399715490257
"286",2017,"jun","domingo","pre_night",32,3.46573590279973,1,6,1,3.27781061626457
"287",2017,"jun","domingo","night",66,4.18965474202643,1,6,1,3.8109726523791
"288",2017,"jun","domingo","night_pm",134,4.89783979995091,1,6,1,4.74698813371856
"289",2017,"jun","segunda","night_am",21,3.04452243772342,1,6,2,3.44204508402153
"290",2017,"jun","segunda","pre_morning",17,2.83321334405622,1,6,2,2.98886213109069
"291",2017,"jun","segunda","morning",34,3.52636052461616,1,6,2,3.18304698611263
"292",2017,"jun","segunda","day_am",36,3.58351893845611,1,6,2,3.8604822723906
"293",2017,"jun","segunda","day_pm",45,3.80666248977032,1,6,2,3.96145262538819
"294",2017,"jun","segunda","pre_night",31,3.43398720448515,1,6,2,3.30526608675019
"295",2017,"jun","segunda","night",66,4.18965474202643,1,6,2,3.83842812286471
"296",2017,"jun","segunda","night_pm",72,4.27666611901606,1,6,2,4.77444360420417
"297",2017,"jun","terça","night_am",12,2.484906649788,1,6,3,3.46950055450715
"298",2017,"jun","terça","pre_morning",17,2.83321334405622,1,6,3,3.0163176015763
"299",2017,"jun","terça","morning",35,3.55534806148941,1,6,3,3.21050245659824
"300",2017,"jun","terça","day_am",74,4.30406509320417,1,6,3,3.88793774287621
"301",2017,"jun","terça","day_pm",64,4.15888308335967,1,6,3,3.9889080958738
"302",2017,"jun","terça","pre_night",27,3.29583686600433,1,6,3,3.3327215572358
"303",2017,"jun","terça","night",89,4.48863636973214,1,6,3,3.86588359335032
"304",2017,"jun","terça","night_pm",104,4.64439089914137,1,6,3,4.80189907468978
"305",2017,"jun","quarta","night_am",28,3.3322045101752,1,6,4,3.49695602499276
"306",2017,"jun","quarta","pre_morning",34,3.52636052461616,1,6,4,3.04377307206191
"307",2017,"jun","quarta","morning",38,3.63758615972639,1,6,4,3.23795792708385
"308",2017,"jun","quarta","day_am",80,4.38202663467388,1,6,4,3.91539321336182
"309",2017,"jun","quarta","day_pm",83,4.4188406077966,1,6,4,4.01636356635941
"310",2017,"jun","quarta","pre_night",24,3.17805383034795,1,6,4,3.36017702772141
"311",2017,"jun","quarta","night",62,4.12713438504509,1,6,4,3.89333906383593
"312",2017,"jun","quarta","night_pm",150,5.01063529409626,1,6,4,4.82935454517539
"313",2017,"jun","quinta","night_am",33,3.49650756146648,1,6,5,3.52441149547837
"314",2017,"jun","quinta","pre_morning",31,3.43398720448515,1,6,5,3.07122854254753
"315",2017,"jun","quinta","morning",47,3.85014760171006,1,6,5,3.26541339756946
"316",2017,"jun","quinta","day_am",86,4.45434729625351,1,6,5,3.94284868384743
"317",2017,"jun","quinta","day_pm",56,4.02535169073515,1,6,5,4.04381903684502
"318",2017,"jun","quinta","pre_night",27,3.29583686600433,1,6,5,3.38763249820702
"319",2017,"jun","quinta","night",93,4.53259949315326,1,6,5,3.92079453432154
"320",2017,"jun","quinta","night_pm",170,5.13579843705026,1,6,5,4.85681001566101
"321",2017,"jun","sexta","night_am",37,3.61091791264422,1,6,6,3.55186696596398
"322",2017,"jun","sexta","pre_morning",28,3.3322045101752,1,6,6,3.09868401303314
"323",2017,"jun","sexta","morning",51,3.93182563272433,1,6,6,3.29286886805507
"324",2017,"jun","sexta","day_am",90,4.49980967033027,1,6,6,3.97030415433304
"325",2017,"jun","sexta","day_pm",83,4.4188406077966,1,6,6,4.07127450733063
"326",2017,"jun","sexta","pre_night",40,3.68887945411394,1,6,6,3.41508796869263
"327",2017,"jun","sexta","night",117,4.76217393479776,1,6,6,3.94825000480716
"328",2017,"jun","sexta","night_pm",192,5.25749537202778,1,6,6,4.88426548614662
